family,params,build_sec,index_bytes,search_sec,recall_at_k
IVF_PQ,"{""nlist"": 256, ""m"": 32, ""nprobe"": 1}",6.093393,40264372,0.376458,0.410353
IVF_PQ,"{""nlist"": 256, ""m"": 32, ""nprobe"": 2}",6.093393,40264372,0.699984,0.558756
IVF_PQ,"{""nlist"": 256, ""m"": 32, ""nprobe"": 4}",6.093393,40264372,1.274617,0.674549
IVF_PQ,"{""nlist"": 256, ""m"": 32, ""nprobe"": 8}",6.093393,40264372,2.373566,0.743795
IVF_PQ,"{""nlist"": 256, ""m"": 32, ""nprobe"": 16}",6.093393,40264372,4.665450,0.772385
IVF_PQ,"{""nlist"": 256, ""m"": 32, ""nprobe"": 32}",6.093393,40264372,9.028596,0.779846
IVF_PQ,"{""nlist"": 256, ""m"": 32, ""nprobe"": 64}",6.093393,40264372,17.558225,0.780820
IVF_PQ,"{""nlist"": 256, ""m"": 64, ""nprobe"": 1}",8.128517,72264372,0.708355,0.428050
IVF_PQ,"{""nlist"": 256, ""m"": 64, ""nprobe"": 2}",8.128517,72264372,1.331720,0.597344
IVF_PQ,"{""nlist"": 256, ""m"": 64, ""nprobe"": 4}",8.128517,72264372,2.557089,0.748627
IVF_PQ,"{""nlist"": 256, ""m"": 64, ""nprobe"": 8}",8.128517,72264372,4.912695,0.846516
IVF_PQ,"{""nlist"": 256, ""m"": 64, ""nprobe"": 16}",8.128517,72264372,9.490024,0.890710
IVF_PQ,"{""nlist"": 256, ""m"": 64, ""nprobe"": 32}",8.128517,72264372,18.419461,0.902735
IVF_PQ,"{""nlist"": 256, ""m"": 64, ""nprobe"": 64}",8.128517,72264372,36.591189,0.904486
IVF_PQ,"{""nlist"": 512, ""m"": 16, ""nprobe"": 1}",7.351130,24397492,0.151241,0.335181
IVF_PQ,"{""nlist"": 512, ""m"": 16, ""nprobe"": 2}",7.351130,24397492,0.235385,0.454977
IVF_PQ,"{""nlist"": 512, ""m"": 16, ""nprobe"": 4}",7.351130,24397492,0.412112,0.550424
IVF_PQ,"{""nlist"": 512, ""m"": 16, ""nprobe"": 8}",7.351130,24397492,0.707034,0.608396
IVF_PQ,"{""nlist"": 512, ""m"": 16, ""nprobe"": 16}",7.351130,24397492,1.346097,0.636735
IVF_PQ,"{""nlist"": 512, ""m"": 16, ""nprobe"": 32}",7.351130,24397492,2.526229,0.646351
IVF_PQ,"{""nlist"": 512, ""m"": 16, ""nprobe"": 64}",7.351130,24397492,4.828027,0.648231
IVF_PQ,"{""nlist"": 512, ""m"": 32, ""nprobe"": 1}",8.678453,40397492,0.224871,0.351737
IVF_PQ,"{""nlist"": 512, ""m"": 32, ""nprobe"": 2}",8.678453,40397492,0.369949,0.498616
IVF_PQ,"{""nlist"": 512, ""m"": 32, ""nprobe"": 4}",8.678453,40397492,0.681606,0.629287
IVF_PQ,"{""nlist"": 512, ""m"": 32, ""nprobe"": 8}",8.678453,40397492,1.256427,0.718594
IVF_PQ,"{""nlist"": 512, ""m"": 32, ""nprobe"": 16}",8.678453,40397492,2.386327,0.763900
IVF_PQ,"{""nlist"": 512, ""m"": 32, ""nprobe"": 32}",8.678453,40397492,4.748904,0.780950
IVF_PQ,"{""nlist"": 512, ""m"": 32, ""nprobe"": 64}",8.678453,40397492,9.090177,0.785021
IVF_PQ,"{""nlist"": 512, ""m"": 64, ""nprobe"": 1}",11.265173,72397492,0.384166,0.360802
IVF_PQ,"{""nlist"": 512, ""m"": 64, ""nprobe"": 2}",11.265173,72397492,0.708973,0.521051
IVF_PQ,"{""nlist"": 512, ""m"": 64, ""nprobe"": 4}",11.265173,72397492,1.331935,0.681284
IVF_PQ,"{""nlist"": 512, ""m"": 64, ""nprobe"": 8}",11.265173,72397492,2.538947,0.804086
